微博内容,创建时间,微博来源,微博地址,用户昵称,粉丝数,性别,地域,认证类型,是否转发,原微博内容,原微博来源,原微博创建时间,原微博用户昵称,原微博地址
当初看到陈羽凡和白百合这一对儿的时候，还蛮欣赏白百合的，羽凡长得虽然有一点点苛碜，她却没有嫌弃人家，觉得肯定是真爱啊。可今天看到卓伟的爆料说她出轨了，不免有些遗憾。 ?,2017-04-12 13:49,iPhone 6 Plus,http://weibo.com/2373286762/EE9MtzYxw,伪意见领袖,3295788,男,四川 成都,名人认证,原创,,,,,
#圈里捞点娱#文章，马伊琍，姚笛，白百何，陈羽凡，张子萱……《失恋33天》剧组有毒！其实，更应该关注优秀传统文化！#伶人王中王# #戏曲公开课# #世界面食大会# ……,2017-04-12 13:48,iPhone 6 Plus,http://weibo.com/1981653361/EE9MiBkm6,山西卫视,2230854,男,山西 太原,媒体认证,转发,#圈里捞点娱##白百合出轨# 文章，马伊琍，姚笛，白百何，陈羽凡，张子萱……《失恋33天》剧组有毒！卓伟12年大料曝光！白百何出轨小鲜肉http://t.cn/RXwVqSi ?,振华工作室iPhone 6 Plus,2017-04-12 13:44,张振华,http://weibo.com/1981802133/EE9KmDisW
邓文迪→_→//@小野妹子学吐槽: 萧亚轩吧 //@衣锦夜行的燕公子:白百合这种一线女星也只睡到这种18线模特！所以到底谁能睡到一线鲜肉啊！办公室的姐姐们人人捶胸顿足！,2017-04-12 13:48,微博 weibo.com,http://weibo.com/2033158844/EE9M56hB7,创维微博,1887655,男,广东 深圳,企业认证,转发,#白百何# #白百何出轨张爱朋# #白百何张爱朋#男主身份曝光！还曾点赞@中国第一狗仔卓伟 微博，你是怕我们看不见？http://t.cn/RXw6VUF ?,微博 weibo.com,2017-04-12 13:32,全明星探,http://weibo.com/5324802169/EE9FIk6ij
据说 此位是 白百合 出轨的男生 @张爱朋 ~ 白百合 白百何 百合奈我何~ ?,2017-04-12 13:48,iPhone 7 Plus,http://weibo.com/1936004331/EE9Mjg0JR,王婕卿,110699,女,黑龙江 哈尔滨,名人认证,原创,,,,,
#白百何#出轨！卓伟爆白百合出轨小鲜肉[doge]该男子与白百何在泳池边玩耍，两人亲密贴耳交谈。男子竟在泳池边发生生理反应[污][污]随后白百何又转头亲了该男子一口。网友心疼#陈羽凡#[摊手]文章，姚迪，张子萱，陈赫纷纷躺枪！失恋33天剧组真是有毒！此刻最开心的应该是王珞丹[doge] ...全文： http://m.weibo.cn/1270492934/4095706778702739 ?,2017-04-12 13:47,秒拍网页版,http://weibo.com/1270492934/EE9LLAvYL,娱乐圈avi,3639072,男,北京 东城区,名人认证,原创,,,,,
现在人都怎么了，白百合出轨关王珞丹什么事儿，为什么不能换位思考一下：如果你是王珞丹，你得笑的多大声？ ?,2017-04-12 13:45,iPhone 7,http://weibo.com/2343372547/EE9KOtC5n,大头和他的朋友们,2681130,男,辽宁 沈阳,名人认证,原创,,,,,
卓伟12年大料：白百合出轨。白百合会如何公关呢？ ?,2017-04-12 13:44,iPhone 6,http://weibo.com/1646943341/EE9KroJuj,正太糖八卦,41064,男,安徽 合肥,名人认证,原创,,,,,
邓文迪//@小野妹子学吐槽:萧亚轩//@衣锦夜行的燕公子:白百合这种一线女星也只睡到这种18线模特！所以到底谁能睡到一线鲜肉啊！,2017-04-12 13:44,iPhone 7 Plus,http://weibo.com/1686709997/EE9KE5ITP,反裤衩阵地,1201419,男,北京 朝阳区,名人认证,转发,#白百何# #白百何出轨张爱朋# #白百何张爱朋#男主身份曝光！还曾点赞@中国第一狗仔卓伟 微博，你是怕我们看不见？http://t.cn/RXw6VUF ?,微博 weibo.com,2017-04-12 13:32,全明星探,http://weibo.com/5324802169/EE9FIk6ij
【白百合出轨：红墙股份放量走高  梦百合、百合花走低翻绿[doge]】周三午后，出轨概念股红墙股份放量走高，涨近2%。目前与白百合名称相仿的个股百合花、梦百合均走低翻绿。（新浪财经） ?,2017-04-12 13:44,微博 weibo.com,http://weibo.com/1649470535/EE9KDvfDT,中金在线,1042150,男,福建 福州,企业认证,原创,,,,,
白百合出轨，百合花跳水？ ?,2017-04-12 13:44,搜狗高速浏览器,http://weibo.com/1405906767/EE9KuEyxv,晓雨闻铃,551551,男,北京 海淀区,名人认证,原创,,,,,
其实，百合和那位是子卯相刑，无礼之刑，无意中就会伤害对方。//@大连强手正骨:抢三将军的头条？[疑问] //@侯宁:[污][哈哈]//@吕健中: //@陈秋欤：如果白百合出轨，那么电影失恋33天的剧组真牛逼了，姚笛，文章，白百合，马伊琍，陈羽凡，张子萱[拜拜] ???,2017-04-12 13:44,中兴天机7Android,http://weibo.com/1483330984/EE9Km5pRX,侯宁,2352714,男,北京,名人认证,转发,你们要的实锤视频来了！白百何和小鲜肉一起去泰国度假，泳池前，小鲜肉勃起了，白百何在泳池前摸了摸他的杰宝，两个人又亲亲脸、摸摸头，而助理就一直尴尬的站在旁边。白百何坐实了出轨，不知道老公陈羽凡看到视频的这些会作何感想···http://t.cn/RXwVqSi ?,微博 weibo.com,2017-04-12 12:35,八哥专用,http://weibo.com/2057769762/EE9isyBur
【#白百何出轨# 泳池边触摸小鲜肉不可描述部位[doge]】L秒拍视频 “中国第一狗仔”卓伟今日爆出白百合出轨小鲜肉视频。视频中显示：该男子与白百何在泳池边玩耍，白百何为男子拍多张照片，两人亲密贴耳交谈。随后，男子竟在泳池边发生生理反应，雄起了！白百何拿手戳向男子不可描述部位。...全文： http://m.weibo.cn/1884703150/4095705788140337 ?,2017-04-12 13:43,微博 weibo.com,http://weibo.com/1884703150/EE9Kay9FL,胶东在线,606961,男,山东 烟台,媒体认证,原创,,,,,
萧亚轩吧 //@衣锦夜行的燕公子:白百合这种一线女星也只睡到这种18线模特！所以到底谁能睡到一线鲜肉啊！办公室的姐姐们人人捶胸顿足！,2017-04-12 13:42,iPhone 7 Plus,http://weibo.com/3229125510/EE9JL9Q4p,小野妹子学吐槽,14862230,男,海外 其他,名人认证,转发,#白百何# #白百何出轨张爱朋# #白百何张爱朋#男主身份曝光！还曾点赞@中国第一狗仔卓伟 微博，你是怕我们看不见？http://t.cn/RXw6VUF ?,微博 weibo.com,2017-04-12 13:32,全明星探,http://weibo.com/5324802169/EE9FIk6ij
据全明星探直播，曝料白百何婚内出轨，两人蜜游泰国。消息一爆出就有网友留言称：“如果白百合出轨，那么电影失恋33天的剧组真厉害了，文章，白百合，马伊琍，陈羽凡，张子萱”via新浪娱乐http://t.cn/RXwitwX ?,2017-04-12 13:42,360安全浏览器,http://weibo.com/2655668590/EE9JSwBiz,城报,242169,女,浙江 杭州,媒体认证,原创,,,,,
#白百何被曝出轨##卓伟12年大料##全明星直播# 独家爆料白百合与某小鲜肉同游泰国，两人在泳池边戏水动作十分亲密，在白百合的撩拨下，小鲜肉更是起了生理反应，画面实在尴尬辣眼不可描述，完整视频戳→http://t.cn/RXw5nzO 在娱乐圈中白百何陈羽凡一直是模范夫妻，不过有网友爆白百合出轨前竟是小三上...全文： http://m.weibo.cn/1700087532/4095705440190685 ?,2017-04-12 13:42,乐视手机,http://weibo.com/1700087532/EE9JC0NBz,三湘都市报,3350249,男,湖南 长沙,媒体认证,原创,,,,,
"虽然不知道事情真伪！绿帽子表情包，你们今天肯定用的上！

白百合离婚声明

 - 白百何卓伟陈羽凡斗图表情包 ?",2017-04-12 13:41,微话题,http://weibo.com/1781783281/EE9Je4hYG,斗图表情包下载,43438,男,上海 黄浦区,名人认证,原创,,,,,
<出轨33天>[doge],2017-04-12 13:41,,http://weibo.com/1583124707/EE9Jo7Iye,我的极品评论,1420542,女,香港 中西区,普通用户,转发,卓伟爆料白百合(白百何)出轨，泰国曼谷幽会情人，泳池边贴脸、亲吻、戳下体打情骂俏，惊呆了！！！ ?神秘的失恋33天剧组也让吃瓜群众震惊，姚笛、文章、白百合、马伊琍、陈羽凡、张子萱都深陷其中。更有网友建议陈思诚、陈赫、刘恺威可以拍部电影，文章当导演，徐峥当出品人，白百合、王鸥、马蓉、张...全文： http://m.weibo.cn/1646724250/4095695557760682 ?,,2017-04-12 13:02,神吐槽,http://weibo.com/1646724250/EE9tFwyUi
#白百何出轨#卓伟爆白百合出轨小鲜肉视频[doge]视频中显示：该男子与白百何在泳池边玩耍，白百何为男子拍多张照片，两人亲密贴耳交谈。随后，男子竟在泳池边发生生理反应，雄起了！白百何拿手戳向男子下身。随后又靠在白百何手臂，白百何转头亲了一口。心疼陈羽凡。http://t.cn/RXwt08P ?,2017-04-12 13:41,微博 weibo.com,http://weibo.com/1773083760/EE9Js0wqu,徐州同城会,518968,男,江苏 徐州,媒体认证,原创,,,,,
[doge]文章，马伊琍，姚笛，白百何，陈羽凡，张子萱……《失恋33天》真是一个有毒的剧组[doge]接下来就是公关了，白百合：那不是我啊，明显是王珞丹[doge]http://t.cn/RXwVF2H #白百何出轨# ?,2017-04-12 13:40,iPhone 7 Plus,http://weibo.com/2751249860/EE9J37IMh,娱乐星扒婆,720529,女,海外,名人认证,原创,,,,,
【白百合出轨：红墙股份放量走高 梦百合、百合花走低翻绿】周三午后，出轨概念股红墙股份放量走高，涨近2%。目前与白百合名称相仿的个股百合花、梦百合均走低翻绿。消息面上，据全明星探爆料，知名女星白百何疑似出轨。#白百何出轨#http://t.cn/RXw6A8I ?,2017-04-12 13:40,专业版微博,http://weibo.com/1638782947/EE9ITFBYn,新浪财经,14108120,男,北京 海淀区,媒体认证,原创,,,,,
#大盘直击# 【白百合出轨：红墙股份成交放量 百合花暂未异动 梦百合打五折】周三午后，出轨概念股红墙股份放量走高，涨近2%。目前与白百合名称相仿的个股百合花、梦百合均走低翻绿。消息面上，4月12日，据全明星探爆料，知名女星白百何疑似出轨。http://t.cn/RXw6A8I ???,2017-04-12 13:40,iPhone 6s,http://weibo.com/1771806172/EE9IW1Jy5,证券中国网,267158,男,上海 浦东新区,网站认证,原创,,,,,
现在公号狗们都在写白百合出轨的事了吧……仅根据视频也说不上出啥轨，逗乐而已。很多事情是看双方的尺度…… ?,2017-04-12 13:40,微博 weibo.com,http://weibo.com/1286356063/EE9J13svs,鲁瑾,72281,女,浙江 杭州,名人认证,原创,,,,,
之前看《向往的生活》就觉得白百合全程做作，举止行为透露着没素质，情商低！据说当年在北舞，白百何上学时偷东西不是一回两回，这也不难看出为什么卓伟爆出她出轨小鲜肉了，坐等这周五歌手的帮帮唱怎么面对全国观众。。你们怎么看？ ?,2017-04-12 13:40,iPhone 6,http://weibo.com/1951120334/EE9IMyCXO,潮女族,419191,女,北京 东城区,名人认证,原创,,,,,
据曝料，白百何婚内出轨，二人甜蜜同游泰国。举止亲昵。消息一爆出吃瓜群众就纷纷跑到羽凡微博“打卡”，还有细心网友留言称：“如果白百合出轨，那么电影失恋33天的剧组真厉害了，文章，白百合，马伊琍，陈羽凡，张子萱”……可真是微妙啊[嘘][嘘] ?,2017-04-12 13:39,微博 weibo.com,http://weibo.com/2189611015/EE9ICz87e,乐视娱乐,1050069,女,北京,媒体认证,原创,,,,,
