微博内容,创建时间,微博来源,微博地址,用户昵称,粉丝数,性别,地域,认证类型,是否转发,原微博内容,原微博来源,原微博创建时间,原微博用户昵称,原微博地址
【学校发公告：不要因为乐天就不背白居易】近日，一些学生学到白居易的《琵琶行》时看到需要全文背诵就产生抵触情绪，后来有人一看白居易字乐天，就找到理由称，爱国就不背白居易的诗。为此，很多学校紧急发公告教导学生不要误伤，白居易虽然字乐天，但韩国没有宣称他是韩国人，白居易的诗还得照常背。 ​,2017-03-02 19:58,iPhone 6s,http://weibo.com/2440773175/ExXG4tgBb,望地先生,68502,男,福建 厦门,普通用户,原创,,,,,
转发微博,2017-03-02 19:58,iPhone 6 Plus,http://weibo.com/1886245571/ExXG0mKHf,粤媒在线,45790,男,其他,高级达人,转发,一，抵制韩国乐天不等于帮朝鲜。制裁朝鲜更狠，近半数的外汇都没了。二，反对萨德不是说的那个防空导弹，而是能够探测到中国纵深的x波段雷达，如此危害国家安全的武备，怎么可能不当回事。三，不清楚的就该多了解一下，明明知道还装糊涂的，是杂碎。 ​,战略挑逗处Android,2017-03-02 19:52,巍岳钦禹,http://weibo.com/3775056661/ExXDyrpWB
不错,2017-03-02 19:53,iPhone 7,http://weibo.com/1660141095/ExXE2y7os,王星WX,175995,男,北京,名人认证,转发,【做一个理性守法的爱国网民】近日在个别地方出现少数以抵制乐天为名的不理性行为，在此南通警方呼吁：请广大市民理性爱国，切勿做出不理性甚至违法行为。对于各种违法犯罪，警方将予以严肃查处。 ​,HUAWEI Mate 8,2017-03-02 15:07,南通公安,http://weibo.com/1805087952/ExVLMmphV
@卫龙食品：关于近日网上传播的卫龙产品在乐天玛特渠道下架的传闻，我方澄清下，除地点有误外其他均属实，目前已撤架的乐天玛特渠道为江苏盐城，全国范围乐天玛特渠道已按程序陆续下架，并且今后不再与乐天合作、供货。 民族的终归是民族的，撤就撤了。 ​​,2017-03-02 19:53,微博 weibo.com,http://weibo.com/2458565150/ExXDMDBO9,电商头条,506499,女,北京 东城区,媒体认证,原创,,,,,
【乐天声称官网疑遭中国黑客攻击 外交部回应】原标题：2017年3月2日外交部发言人耿爽主持例行记者会问：韩国国防部确定乐天星州高尔夫球场为&ldquo;萨德&rdquo;部署地后，中国民众开始抵制乐天。中方对此有何评论？ 答：在过去的三天中，我 http://t.cn/RixIgrZ ​,2017-03-02 19:51,分享按钮,http://weibo.com/1880982630/ExXD14B59,汽车生活报,6689,女,北京 朝阳区,媒体认证,原创,,,,,
切莫打着幌子违法,2017-03-02 19:49,iPhone 6 Plus,http://weibo.com/1886245571/ExXCatsEJ,粤媒在线,45790,男,其他,高级达人,转发,【做一个理性守法的爱国网民】近日在个别地方出现少数以抵制乐天为名的不理性行为，在此南通警方呼吁：请广大市民理性爱国，切勿做出不理性甚至违法行为。对于各种违法犯罪，警方将予以严肃查处。 ​,HUAWEI Mate 8,2017-03-02 15:07,南通公安,http://weibo.com/1805087952/ExVLMmphV
认为中国经济会超过美国的挺多。,2017-03-02 19:47,360安全浏览器,http://weibo.com/1299229701/ExXBFcaSb,马小予,47131,女,其他,名人认证,转发,【部署“萨德”，韩国民众真的同意吗】随着乐天集团卷入“萨德”部署进程，意味着一旦闯过了选址问题这一关，“萨德”落地节奏将大大加快。那么韩国民众到底是怎么想的？在中美之间有着怎样的评价和选择？看到最后，你会发现其实部分韩国人的看法和建议还是比较理性的。http://t.cn/RiqR5V2 via...全文： http://m.weibo.cn/1806128454/4080165875858328 ​,微博 weibo.com,2017-02-28 16:33,凤凰视频,http://weibo.com/1806128454/ExDtNoA1a
【#乐天家族史#：这些年的内斗堪比韩剧[二哈]】乐天集团在中韩建交之初便进入中国市场，并迅速渗透食品百货领域。然而，接下来的发展却并非一帆风顺，企业内部运营也因权力斗争而亮起红灯。长子和次子之间发生权力争斗，乐天二把手还在警方传唤前一天自杀身亡，精彩程度堪比韩剧。http://t.cn/RixiHv9 ...全文： http://m.weibo.cn/6004281123/4080939065151649 ​,2017-03-02 19:45,专业版微博,http://weibo.com/6004281123/ExXASlCb7,梨视频,953950,男,北京 海淀区,媒体认证,原创,,,,,
"[怒][怒][怒][怒][怒][怒]京东真的还在卖乐天的东西!!!而我们这个三线城市都算不上的但德州影响力最大的德百超市（在德州地区有很多家分店）已经下架乐天产品，并且承诺永不再与乐天合作![good][good][good][good][good][good]
坚决抵制那些挣着中国钱却砸中国锅的人和企业!
我喜欢韩货，但我更爱我的 ​",2017-03-02 19:43,华为P9手机摄影再突破,http://weibo.com/6079883467/ExXzYgdu4,后园记,14,女,山东 德州,普通用户,原创,,,,,
一段视频告诉你，“萨德”系统到底是什么[哼]卧榻之侧，岂容他人酣睡？#卫龙停止供货乐天#http://t.cn/RicL1Ql ​,2017-03-02 19:40,呆萌傲娇的Android,http://weibo.com/2003190825/ExXyNzfUu,青岛校园,282485,女,山东 青岛,校园认证,原创,,,,,
